WORD,FREQUENCY,RANK,PROBABILITY
the,133211,1,0.06240811725760524
and,94787,2,0.0444068298451076
of,71173,3,0.03334388999088317
to,47591,4,0.022295941839688097
a,33573,5,0.015728638931391408
in,33391,6,0.015643373620411953
i,28593,7,0.013395555147448085
that,28241,8,0.013230646414125182
he,25408,9,0.011903412205307625
it,21537,10,0.010089884629475375
his,21375,11,0.010013989132889266
for,19396,12,0.009086845998667612
was,18647,13,0.008735946449636779
with,17560,14,0.008226697037358387
not,17281,15,0.008095988126571202
is,16343,16,0.007656543831523242
be,16056,17,0.0075220869949787165
you,15878,18,0.007438695646877931
as,14464,19,0.006776249769268321
but,13558,20,0.006351797177249716
all,13557,21,0.006351328686530049
they,12983,22,0.006082415013440999
him,12928,23,0.006056648023859295
shall,11676,24,0.005470097642835793
her,11446,25,0.005362344777312306
my,10462,26,0.00490134990915965
had,10305,27,0.004827796866171878
them,10199,28,0.00477813684988714
have,10100,29,0.004731756268640075
said,9396,30,0.0044019388019942715
me,9360,31,0.004385073136086247
at,9134,32,0.0042791942334414294
from,9062,33,0.004245462901625381
unto,9010,34,0.004221101384202681
she,8897,35,0.004168161932880271
this,8848,36,0.004145205887616572
which,8742,37,0.004095545871331835
on,8536,38,0.003999036783080364
by,8457,39,0.003962026016226645
lord,8441,40,0.0039545301647119675
their,7790,41,0.0036495427062085326
so,7704,42,0.003609252504317142
will,7311,43,0.00342513565148788
were,6872,44,0.00321946822555392
are,6838,45,0.0032035395410852305
thou,6740,46,0.003157627450557832
when,6296,47,0.0029496175710255357
or,6272,48,0.0029383737937535197
one,6066,49,0.0028418647055020486
there,6032,50,0.0028259360210333593
out,5711,51,0.002675550500020145
no,5707,52,0.0026736765371414757
thy,5604,53,0.0026254219930157406
what,5534,54,0.0025926276426390268
if,5181,55,0.002427250418596458
man,5168,56,0.002421160039240783
god,5156,57,0.002415538150604775
your,5088,58,0.0023836807816673957
then,5039,59,0.0023607247364036965
we,4992,60,0.002338705672579332
up,4955,61,0.0023213715159516404
an,4866,62,0.0022796758419012476
thee,4792,63,0.002245007528645865
now,4618,64,0.002163490143423749
do,4612,65,0.002160679199105745
ye,4606,66,0.002157868254787741
upon,4581,67,0.0021461559867960575
who,4186,68,0.0019611021525274604
into,4098,69,0.0019198749691967353
more,4036,70,0.0018908285445773604
would,4024,71,0.0018852066559413524
very,3984,72,0.001866467027154659
come,3609,73,0.0016907830072794088
could,3577,74,0.001675791304250054
before,3427,75,0.001605517696299954
been,3402,76,0.0015938054283082706
any,3349,77,0.0015689754201659019
like,3339,78,0.0015642905129692286
came,3330,79,0.0015600740964922227
did,3072,80,0.0014392034908180505
little,3063,81,0.0014349870743410444
day,3054,82,0.0014307706578640385
know,3007,83,0.0014087515940396738
than,2904,84,0.0013604970499139382
every,2874,85,0.0013464423283239182
see,2841,86,0.0013309821345748962
great,2836,87,0.0013286396809765596
these,2834,88,0.0013277026995372249
go,2821,89,0.0013216123201815495
house,2811,90,0.0013169274129848762
king,2808,91,0.001315521940825874
us,2788,92,0.0013061521264325275
down,2779,93,0.0013019357099555214
people,2772,94,0.0012986562749178502
am,2762,95,0.0012939713677211767
some,2737,96,0.0012822590997294935
made,2734,97,0.0012808536275704914
son,2707,98,0.0012682043781394735
our,2706,99,0.0012677358874198061
say,2702,100,0.0012658619245411369
after,2701,101,0.0012653934338214695
good,2667,102,0.0012494647493527802
time,2637,103,0.0012354100277627601
men,2635,104,0.0012344730463234254
how,2616,105,0.001225571722649746
israel,2582,106,0.0012096430381810567
about,2582,107,0.0012096430381810567
let,2571,108,0.001204489640264716
should,2543,109,0.0011913719001140307
hath,2535,110,0.001187623974356692
such,2525,111,0.0011829390671600187
may,2519,112,0.0011801281228420147
over,2509,113,0.0011754432156453412
only,2479,114,0.0011613884940553214
even,2464,115,0.0011543611332603112
hand,2403,116,0.001125783199360604
other,2384,117,0.0011168818756869246
must,2331,118,0.0010920518675445559
two,2328,119,0.0010906463953855537
well,2320,120,0.0010868984696282152
mr,2317,121,0.001085492997469213
against,2315,122,0.0010845560160298786
went,2306,123,0.0010803395995528724
much,2289,124,0.0010723752573185278
make,2246,125,0.0010522301563728324
own,2214,126,0.0010372384533434778
children,2214,127,0.0010372384533434778
yet,2201,128,0.0010311480739878024
also,2183,129,0.0010227152410337904
again,2083,130,0.0009758661690670569
land,2061,131,0.0009655593732343756
old,2033,132,0.0009524416330836902
father,2007,133,0.0009402608743723396
away,2006,134,0.0009397923836526722
can,1996,135,0.0009351074764559989
things,1963,136,0.0009196472827069769
